"_id",requestId,proposalId,insurerCode
6319bf79b3bff06aec1541e1,AGRHXIT94HS,6319bf6db3bff06aec1541d6,DIGIT
6319c06bb3bff06aec154224,AGRHXSVPON4,6319c05fb3bff06aec15421e,DIGIT
6319c10eb3bff06aec15422a,AGRHXSVPON4,6319c05fb3bff06aec15421e,DIGIT
6319c11bb3bff06aec15422e,AGRHXSVPON4,6319c05fb3bff06aec15421e,DIGIT
631ef7df37733d4fc4a5935f,AGRMEI66QYO,631ef7bf37733d4fc4a59355,CHOL
631ef7e137733d4fc4a59363,AGRMEI66QYO,631ef7bf37733d4fc4a59355,CHOL
631ef82237733d4fc4a59369,AGRMEI66QYO,631ef7bf37733d4fc4a59355,CHOL
632818bbb9f26a33d118c3a4,AGRMEI66QYO,631ef7bf37733d4fc4a59355,CHOL
633eb653c8371c7c1292ce98,AGSDL77TEYO,633eb64dc8371c7c1292ce80,CHOL
633eb655c8371c7c1292ce9c,AGSDL77TEYO,633eb64dc8371c7c1292ce80,CHOL
633eb65ac8371c7c1292cea0,AGSDL77TEYO,633eb64dc8371c7c1292ce80,CHOL
633eb65bc8371c7c1292cea4,AGSDL77TEYO,633eb64dc8371c7c1292ce80,CHOL
633eb733c8371c7c1292cecc,AGSDL77TEYO,633eb72cc8371c7c1292ceb4,CHOL
633eb734c8371c7c1292ced0,AGSDL77TEYO,633eb72cc8371c7c1292ceb4,CHOL
633eb789c8371c7c1292cf11,AGSDL77TEYO,633eb780c8371c7c1292cef9,CHOL
633eb78bc8371c7c1292cf15,AGSDL77TEYO,633eb780c8371c7c1292cef9,CHOL
633fb6565e654265068564a9,AGSEFHMKF7K,633fb62d5e6542650685649f,CHOL
633fb6575e654265068564ad,AGSEFHMKF7K,633fb62d5e6542650685649f,CHOL
633fbc805e654265068564f0,AGSEFHMKF7K,633fb9e75e654265068564d6,CHOL
633fbc825e654265068564f4,AGSEFHMKF7K,633fb9e75e654265068564d6,CHOL
637dc064a4d4973a6a5172a1,AGTVKQLLLAF,637dc04ca4d4973a6a51729c,DIGIT
637dc065a4d4973a6a5172a4,AGTVKQLLLAF,637dc04ca4d4973a6a51729c,DIGIT
637dc07ca4d4973a6a5172a7,AGTVKQLLLAF,637dc04ca4d4973a6a51729c,DIGIT
637dc07ca4d4973a6a5172a9,AGTVKQLLLAF,637dc04ca4d4973a6a51729c,DIGIT
637de952a4d4973a6a5173bb,AGTVPO2366J,637de94aa4d4973a6a51739e,ICICILOMBARD
637de953a4d4973a6a5173bf,AGTVPO2366J,637de94aa4d4973a6a51739e,ICICILOMBARD
639ac2cb56296f2479a6624e,AGUKE5F3HTZ,639ac2ac56296f2479a66242,ICICILOMBARD
639ac2cf56296f2479a66252,AGUKE5F3HTZ,639ac2ac56296f2479a66242,ICICILOMBARD
639ac2d356296f2479a66256,AGUKE5F3HTZ,639ac2ac56296f2479a66242,ICICILOMBARD
639ac2d456296f2479a6625a,AGUKE5F3HTZ,639ac2ac56296f2479a66242,ICICILOMBARD
639ac3df56296f2479a66271,AGUKE5F3HTZ,639ac3d956296f2479a66269,ICICILOMBARD
639ac3e056296f2479a66275,AGUKE5F3HTZ,639ac3d956296f2479a66269,ICICILOMBARD
639acf1c56296f2479a662d0,AGUKGL80LCL,639acf1456296f2479a662be,ICICILOMBARD
639acf1c56296f2479a662d4,AGUKGL80LCL,639acf1456296f2479a662be,ICICILOMBARD
639ae66556296f2479a662e6,AGUKGL80LCL,639acf1456296f2479a662be,ICICILOMBARD
639ae66756296f2479a662ea,AGUKGL80LCL,639acf1456296f2479a662be,ICICILOMBARD
